"id","governorate_id","city_name_ar","city_name_en"
"238","12","قها","Qaha"
"239","12","العبور","Obour"
"240","12","الخصوص","Khosous"
"241","12","شبين القناطر","Shibin Al Qanater"
"242","12","مسطرد","Mostorod"
"243","13","الخارجة","El Kharga"
"244","13","باريس","Paris"
"245","13","موط","Mout"
"246","13","الفرافرة","Farafra"
"247","13","بلاط","Balat"
"248","13","الداخلة","Dakhla"
"249","14","السويس","Suez"
"250","14","الجناين","Alganayen"
"251","14","عتاقة","Ataqah"
"252","14","العين السخنة","Ain Sokhna"
"253","14","فيصل","Faysal"
"254","15","أسوان","Aswan"
"255","15","أسوان الجديدة","Aswan El Gedida"
"256","15","دراو","Drau"
"257","15","كوم أمبو","Kom Ombo"
"258","15","نصر النوبة","Nasr Al Nuba"
"259","15","كلابشة","Kalabsha"
"260","15","إدفو","Edfu"
"261","15","الرديسية","Al-Radisiyah"
"262","15","البصيلية","Al Basilia"
"263","15","السباعية","Al Sibaeia"
"264","15","ابوسمبل السياحية","Abo Simbl Al Siyahia"
"265","15","مرسى علم","Marsa Alam"
"266","16","أسيوط","Assiut"
"267","16","أسيوط الجديدة","Assiut El Gedida"
"268","16","ديروط","Dayrout"
"269","16","منفلوط","Manfalut"
"270","16","القوصية","Qusiya"
"271","16","أبنوب","Abnoub"
"272","16","أبو تيج","Abu Tig"
"273","16","الغنايم","El Ghanaim"
"274","16","ساحل سليم","Sahel Selim"
"275","16","البداري","El Badari"
"276","16","صدفا","Sidfa"
"277","17","بني سويف","Bani Sweif"
"278","17","بني سويف الجديدة","Beni Suef El Gedida"
"279","17","الواسطى","Al Wasta"
"280","17","ناصر","Naser"
"281","17","إهناسيا","Ehnasia"
"282","17","ببا","beba"
"283","17","الفشن","Fashn"
"284","17","سمسطا","Somasta"
"285","17","الاباصيرى","Alabbaseri"
"286","17","مقبل","Mokbel"
"287","18","بورسعيد","PorSaid"
"288","18","بورفؤاد","Port Fouad"
"289","18","العرب","Alarab"
"290","18","حى الزهور","Zohour"
"291","18","حى الشرق","Alsharq"
"292","18","حى الضواحى","Aldawahi"
"293","18","حى المناخ","Almanakh"
"294","18","حى مبارك","Mubarak"
"295","19","دمياط","Damietta"
"296","19","دمياط الجديدة","New Damietta"
"297","19","رأس البر","Ras El Bar"
"298","19","فارسكور","Faraskour"
"299","19","الزرقا","Zarqa"
"300","19","السرو","alsaru"
"301","19","الروضة","alruwda"
"302","19","كفر البطيخ","Kafr El-Batikh"
"303","19","عزبة البرج","Azbet Al Burg"
"304","19","ميت أبو غالب","Meet Abou Ghalib"
"305","19","كفر سعد","Kafr Saad"
"306","20","الزقازيق","Zagazig"
"307","20","العاشر من رمضان","Al Ashr Men Ramadan"
"308","20","منيا القمح","Minya Al Qamh"
"309","20","بلبيس","Belbeis"
"310","20","مشتول السوق","Mashtoul El Souq"
"311","20","القنايات","Qenaiat"
"312","20","أبو حماد","Abu Hammad"
"313","20","القرين","El Qurain"
"314","20","ههيا","Hehia"
"315","20","أبو كبير","Abu Kabir"
"316","20","فاقوس","Faccus"
"317","20","الصالحية الجديدة","El Salihia El Gedida"
"318","20","الإبراهيمية","Al Ibrahimiyah"
"319","20","ديرب نجم","Deirb Negm"
"320","20","كفر صقر","Kafr Saqr"
"321","20","أولاد صقر","Awlad Saqr"
"322","20","الحسينية","Husseiniya"
"323","20","صان الحجر القبلية","san alhajar alqablia"
"324","20","منشأة أبو عمر","Manshayat Abu Omar"
"325","21","الطور","Al Toor"
"326","21","شرم الشيخ","Sharm El-Shaikh"
"327","21","دهب","Dahab"
"328","21","نويبع","Nuweiba"
"329","21","طابا","Taba"
"330","21","سانت كاترين","Saint Catherine"
"331","21","أبو رديس","Abu Redis"
"332","21","أبو زنيمة","Abu Zenaima"
"333","21","رأس سدر","Ras Sidr"
"334","22","كفر الشيخ","Kafr El Sheikh"
"335","22","وسط البلد كفر الشيخ","Kafr El Sheikh Downtown"
"336","22","دسوق","Desouq"
"337","22","فوه","Fooh"
"338","22","مطوبس","Metobas"
"339","22","برج البرلس","Burg Al Burullus"
"340","22","بلطيم","Baltim"
"341","22","مصيف بلطيم","Masief Baltim"
"342","22","الحامول","Hamol"
"343","22","بيلا","Bella"
"344","22","الرياض","Riyadh"
"345","22","سيدي سالم","Sidi Salm"
"346","22","قلين","Qellen"
"347","22","سيدي غازي","Sidi Ghazi"
"348","23","مرسى مطروح","Marsa Matrouh"
"349","23","الحمام","El Hamam"
"350","23","العلمين","Alamein"
"351","23","الضبعة","Dabaa"
"352","23","النجيلة","Al-Nagila"
"353","23","سيدي براني","Sidi Brani"
"354","23","السلوم","Salloum"
"355","23","سيوة","Siwa"
"356","23","مارينا","Marina"
"357","23","الساحل الشمالى","North Coast"
"358","24","الأقصر","Luxor"
"359","24","الأقصر الجديدة","New Luxor"
"360","24","إسنا","Esna"
"361","24","طيبة الجديدة","New Tiba"
"362","24","الزينية","Al ziynia"
"363","24","البياضية","Al Bayadieh"
"364","24","القرنة","Al Qarna"
"365","24","أرمنت","Armant"
"366","24","الطود","Al Tud"
"367","25","قنا","Qena"
"368","25","قنا الجديدة","New Qena"
"369","25","ابو طشت","Abu Tesht"
"370","25","نجع حمادي","Nag Hammadi"
"371","25","دشنا","Deshna"
"372","25","الوقف","Alwaqf"
"373","25","قفط","Qaft"
"374","25","نقادة","Naqada"
"375","25","فرشوط","Farshout"
"376","25","قوص","Quos"
"377","26","العريش","Arish"
"378","26","الشيخ زويد","Sheikh Zowaid"
"379","26","نخل","Nakhl"
"380","26","رفح","Rafah"
"381","26","بئر العبد","Bir al-Abed"
"382","26","الحسنة","Al Hasana"
"383","27","سوهاج","Sohag"
"384","27","سوهاج الجديدة","Sohag El Gedida"
"385","27","أخميم","Akhmeem"
"386","27","أخميم الجديدة","Akhmim El Gedida"
"387","27","البلينا","Albalina"
"388","27","المراغة","El Maragha"
"389","27","المنشأة","almunsha'a"
"390","27","دار السلام","Dar AISalaam"
"391","27","جرجا","Gerga"
"392","27","جهينة الغربية","Jahina Al Gharbia"
"393","27","ساقلته","Saqilatuh"
"394","27","طما","Tama"
"395","27","طهطا","Tahta"
"396","27","الكوثر","Alkawthar"
